CustomerID,LookalikeID,SimilarityScore
C0001,C0137,0.9996827938853191
C0001,C0152,0.9991692087227974
C0001,C0164,0.9943153139241693
C0002,C0094,0.9960679476640105
C0002,C0010,0.9899240492433854
C0002,C0142,0.9885596724607183
C0003,C0112,0.9999534373515919
C0003,C0061,0.9994569778028507
C0003,C0167,0.9970237715693836
C0004,C0075,0.9996871532903252
C0004,C0021,0.9987646866990642
C0004,C0101,0.9974368601723244
C0005,C0063,0.9991737224054095
C0005,C0151,0.9984089515588073
C0005,C0132,0.998309815118965
C0006,C0079,0.9981100386397318
C0006,C0117,0.9970404861150932
C0006,C0168,0.9743226516358078
C0007,C0125,0.9996913690091711
C0007,C0120,0.9992126586633467
C0007,C0042,0.9951974057058031
C0008,C0084,0.9959904460485791
C0008,C0024,0.9873075379790488
C0008,C0139,0.9847827607329962
C0009,C0192,0.9996485305963803
C0009,C0031,0.9980872354456696
C0009,C0029,0.9959748378912708
C0010,C0002,0.9899240492433854
C0010,C0094,0.9870121884911256
C0010,C0035,0.9849698106811834
C0011,C0107,0.9996971791664137
C0011,C0064,0.9899144804173772
C0011,C0183,0.9818265459631008
C0012,C0067,0.9932877127225694
C0012,C0143,0.9820746316029568
C0012,C0087,0.9508595303738914
C0013,C0045,0.9991560347541572
C0013,C0104,0.9958592633093316
C0013,C0102,0.985313195546471
C0014,C0097,0.9984460300912013
C0014,C0177,0.9936908964434372
C0014,C0123,0.988185546870861
C0015,C0112,0.9964947838453116
C0015,C0003,0.9963084505769427
C0015,C0061,0.9948896228302068
C0016,C0048,0.9956413788234966
C0016,C0183,0.994273593928162
C0016,C0171,0.9893296056241281
C0017,C0109,0.9931166236453978
C0017,C0075,0.9902525208392285
C0017,C0175,0.9895679305202628
C0018,C0200,0.9934076095900065
C0018,C0148,0.9571505064839629
C0018,C0096,0.9207748480165573
C0019,C0172,0.9064460966975593
C0019,C0157,0.8899645102665662
C0019,C0106,0.8649635341293347
C0020,C0130,0.9979889819867196
C0020,C0150,0.9964424546154695
C0020,C0080,0.9960351440835437
